HA (Yes/No),"Clustered Mode (Yes, No)",Master Nodes Count,HA Nodes Count,Total Nodes (Master + Replica)
No,No,1,0,1
Yes,No,1,1,2
Yes,No,1,2,3
Yes,No,1,3,4
Yes,No,1,4,5
Yes,No,1,5,6
No,Yes,2,0,2
No,Yes,3,0,3
No,Yes,4,0,4
No,Yes,5,0,5
No,Yes,6,0,6
No,Yes,7,0,7
No,Yes,8,0,8
No,Yes,9,0,9
No,Yes,10,0,10
No,Yes,11,0,11
No,Yes,12,0,12
No,Yes,13,0,13
No,Yes,14,0,14
No,Yes,15,0,15
No,Yes,16,0,16
No,Yes,17,0,17
No,Yes,18,0,18
No,Yes,19,0,19
No,Yes,20,0,20
No,Yes,21,0,21
No,Yes,22,0,22
No,Yes,23,0,23
No,Yes,24,0,24
No,Yes,25,0,25
No,Yes,26,0,26
No,Yes,27,0,27
No,Yes,28,0,28
No,Yes,29,0,29
No,Yes,30,0,30
No,Yes,31,0,31
No,Yes,32,0,32
No,Yes,33,0,33
No,Yes,34,0,34
No,Yes,35,0,35
No,Yes,36,0,36
No,Yes,37,0,37
No,Yes,38,0,38
No,Yes,39,0,39
No,Yes,40,0,40
No,Yes,41,0,41
No,Yes,42,0,42
No,Yes,43,0,43
No,Yes,44,0,44
No,Yes,45,0,45
No,Yes,46,0,46
No,Yes,47,0,47
No,Yes,48,0,48
No,Yes,49,0,49
No,Yes,50,0,50
No,Yes,51,0,51
No,Yes,52,0,52
No,Yes,53,0,53
No,Yes,54,0,54
No,Yes,55,0,55
No,Yes,56,0,56
No,Yes,57,0,57
No,Yes,58,0,58
No,Yes,59,0,59
No,Yes,60,0,60
No,Yes,61,0,61
No,Yes,62,0,62
No,Yes,63,0,63
No,Yes,64,0,64
No,Yes,65,0,65
No,Yes,66,0,66
No,Yes,67,0,67
No,Yes,68,0,68
No,Yes,69,0,69
No,Yes,70,0,70
No,Yes,71,0,71
No,Yes,72,0,72
No,Yes,73,0,73
No,Yes,74,0,74
No,Yes,75,0,75
No,Yes,76,0,76
No,Yes,77,0,77
No,Yes,78,0,78
No,Yes,79,0,79
No,Yes,80,0,80
No,Yes,81,0,81
No,Yes,82,0,82
No,Yes,83,0,83
No,Yes,84,0,84
No,Yes,85,0,85
No,Yes,86,0,86
No,Yes,87,0,87
No,Yes,88,0,88
No,Yes,89,0,89
No,Yes,90,0,90
No,Yes,91,0,91
No,Yes,92,0,92
No,Yes,93,0,93
No,Yes,94,0,94
No,Yes,95,0,95
No,Yes,96,0,96
No,Yes,97,0,97
No,Yes,98,0,98
No,Yes,99,0,99
No,Yes,100,0,100
No,Yes,101,0,101
No,Yes,102,0,102
No,Yes,103,0,103
No,Yes,104,0,104
No,Yes,105,0,105
No,Yes,106,0,106
No,Yes,107,0,107
No,Yes,108,0,108
No,Yes,109,0,109
No,Yes,110,0,110
No,Yes,111,0,111
No,Yes,112,0,112
No,Yes,113,0,113
No,Yes,114,0,114
No,Yes,115,0,115
No,Yes,116,0,116
No,Yes,117,0,117
No,Yes,118,0,118
No,Yes,119,0,119
No,Yes,120,0,120
No,Yes,121,0,121
No,Yes,122,0,122
No,Yes,123,0,123
No,Yes,124,0,124
No,Yes,125,0,125
No,Yes,126,0,126
No,Yes,127,0,127
No,Yes,128,0,128
No,Yes,129,0,129
No,Yes,130,0,130
No,Yes,131,0,131
No,Yes,132,0,132
No,Yes,133,0,133
No,Yes,134,0,134
No,Yes,135,0,135
No,Yes,136,0,136
No,Yes,137,0,137
No,Yes,138,0,138
No,Yes,139,0,139
No,Yes,140,0,140
No,Yes,141,0,141
No,Yes,142,0,142
No,Yes,143,0,143
No,Yes,144,0,144
No,Yes,145,0,145
No,Yes,146,0,146
No,Yes,147,0,147
No,Yes,148,0,148
No,Yes,149,0,149
No,Yes,150,0,150
No,Yes,151,0,151
No,Yes,152,0,152
No,Yes,153,0,153
No,Yes,154,0,154
No,Yes,155,0,155
No,Yes,156,0,156
No,Yes,157,0,157
No,Yes,158,0,158
No,Yes,159,0,159
No,Yes,160,0,160
No,Yes,161,0,161
No,Yes,162,0,162
No,Yes,163,0,163
No,Yes,164,0,164
No,Yes,165,0,165
No,Yes,166,0,166
No,Yes,167,0,167
No,Yes,168,0,168
No,Yes,169,0,169
No,Yes,170,0,170
No,Yes,171,0,171
No,Yes,172,0,172
No,Yes,173,0,173
No,Yes,174,0,174
No,Yes,175,0,175
No,Yes,176,0,176
No,Yes,177,0,177
No,Yes,178,0,178
No,Yes,179,0,179
No,Yes,180,0,180
No,Yes,181,0,181
No,Yes,182,0,182
No,Yes,183,0,183
No,Yes,184,0,184
No,Yes,185,0,185
No,Yes,186,0,186
No,Yes,187,0,187
No,Yes,188,0,188
No,Yes,189,0,189
No,Yes,190,0,190
No,Yes,191,0,191
No,Yes,192,0,192
No,Yes,193,0,193
No,Yes,194,0,194
No,Yes,195,0,195
No,Yes,196,0,196
